State,Years,Homicides,Rape,Robbery
Alabama,2012,342,1296,5020
Alabama,2013,346,3504,4645
Alabama,2014,276,3430,4702
Alabama,2015,348,3486,4612
Alabama,2016,407,3295,4687
Alabama,2017,419,2001,4233
Alabama,2018,383,2032,4047
Alabama,2019,390,2119,3922
Alabama,2020,471,1608,2666
Alabama,2021,476,1369,1570
Alabama,2022,552,1504,1750
Alaska,2012,30,583,630
Alaska,2013,34,1582,623
Alaska,2014,41,1324,629
Alaska,2015,59,1548,761
Alaska,2016,52,1807,850
Alaska,2017,62,1074,952
Alaska,2018,47,1212,896
Alaska,2019,69,1102,826
Alaska,2020,49,1132,712
Alaska,2021,45,1168,540
Alaska,2022,70,983,551
Arizona,2012,358,2282,7383
Arizona,2013,355,5518,6656
Arizona,2014,311,5628,6225
Arizona,2015,306,5377,6360
Arizona,2016,389,5765,7045
Arizona,2017,422,3622,7440
Arizona,2018,383,3605,6509
Arizona,2019,397,3650,6305
Arizona,2020,513,3263,6211
Arizona,2021,485,3319,5269
Arizona,2022,500,3246,5160
Arkansas,2012,174,1233,2310
Arkansas,2013,158,2625,2261
Arkansas,2014,175,3107,2037
Arkansas,2015,189,3433,2117
Arkansas,2016,217,3814,2125
Arkansas,2017,249,2140,1998
Arkansas,2018,222,2341,1593
Arkansas,2019,237,2420,1576
Arkansas,2020,321,2226,1577
Arkansas,2021,334,2461,1282
Arkansas,2022,312,2315,1208
California,2012,1884,7837,56521
California,2013,1746,17788,53640
California,2014,1700,19967,48681
California,2015,1861,22152,52862
California,2016,1930,23834,54789
California,2017,1830,14724,56625
California,2018,1739,15506,54328
California,2019,1690,14801,52306
California,2020,2203,13449,44728
California,2021,2346,14639,44649
California,2022,2231,14613,48192
